COD.;NUM.;LETTERA;DATA;CLIENTE;RIF.;DDT;COD.;LOTTO;QT;IMP.;LOTTO;QT;IMP.;LOTTO;QT;IMP.;LOTTO;QT;IMP.;LOTTO;QT;IMP.;LOTTO;QT;IMP.;LOTTO;QT;IMP.;LOTTO;QT;IMP.;LOTTO;QT;IMP.;LOTTO;QT;IMP.;;;
1;1;;04/01/2020;COOP FIRENZE;LUCCA VIALE PUCCINI;1;MF19MAM;24;121,68 €;CT18ACM02;24;124,80 €;AC19ACM01;36;270,36 €;;;0,00 €;;;0,00 €;;;0,00 €;MF19DAG;24;121,68 €;CT18BRG99;24;122,88 €;AC18DA03;36;261,00 €;;;;1022,40;1;;1
2;2;;04/01/2020;COOP FIRENZE;MASSA E COZZILE;2;MF19MAM;12;60,84 €;CT18ACM02;6;31,20 €;AC19ACM01;12;90,12 €;ME19ACM;12;60,84 €;EU19TAM;12;79,44 €;;;0,00 €;;;0,00 €;CT18BRG99;6;30,72 €;AC18DA03;12;87,00 €;;;;440,16;2;;2
3;3;;11/01/2020;COOP FIRENZE;TORRE DEL LAGO;3;MF19MAM;6;30,42 €;;;0,00 €;AC19ACM01;12;90,12 €;ME19ACM;6;30,42 €;EU19TAM;6;39,72 €;;;0,00 €;MF19DAG;6;30,42 €;CT18BRG99;6;30,72 €;;;0,00 €;;;;251,82;3;;3
4;4;;11/01/2020;COOP FIRENZE;ARENA METATO;4;MF19MAM;6;30,42 €;;;0,00 €;;;0,00 €;ME19ACM;6;30,42 €;EU19TAM;6;39,72 €;;;0,00 €;MF19DAG;6;30,42 €;CT18BRG99;6;30,72 €;AC18DA03;6;43,50 €;;;;205,20;4;;4
5;5;;11/01/2020;COOP FIRENZE;CALCI;5;MF19MAM;12;60,84 €;CT18ACM02;12;62,40 €;AC19ACM01;6;45,06 €;ME19ACM;12;60,84 €;EU19TAM;12;79,44 €;;;0,00 €;MF19DAG;6;30,42 €;;;0,00 €;AC18DA03;6;43,50 €;;;;382,50;5;;5
6A;6;A;11/01/2020;COOP FIRENZE;CASCINA VIA MORO;6;MF19MAM;6;30,42 €;;;0,00 €;AC19ACM01;2;15,02 €;ME19ACM;6;30,42 €;;;0,00 €;;;0,00 €;MF19DAG;12;60,84 €;CT18BRG99;6;30,72 €;AC18DA03;6;43,50 €;;;;210,92;6A;;6A
6B;6;B;11/01/2020;COOP FIRENZE;CASCINA VIA MORO;6;;;0,00 €;;;0,00 €;AC19ACM02;4;30,04 €;;;0,00 €;;;0,00 €;;;0,00 €;;;0,00 €;;;0,00 €;;;0,00 €;;;;30,04;6B;240,96;6B
7;7;;11/01/2020;COOP FIRENZE;NAVACCHIO IPER;7;MF19MAM;12;60,84 €;;;0,00 €;AC19ACM02;24;180,24 €;ME19ACM;24;121,68 €;EU19TAM;24;158,88 €;;;0,00 €;MF19DAG;6;30,42 €;CT18BRG99;12;61,44 €;AC18DA03;24;174,00 €;;;;787,50;7;;7
8;8;;11/01/2020;COOP FIRENZE;MARINA DI PISA;8;MF19MAM;6;30,42 €;CT18ACM02;6;31,20 €;AC19ACM01;6;45,06 €;ME19ACM;6;30,42 €;;;0,00 €;;;0,00 €;MF19DAG;6;30,42 €;;;0,00 €;AC18DA03;6;43,50 €;;;;211,02;8;;8
9;9;;11/01/2020;COOP FIRENZE;PISA PORTA A MARE;9;MF19MAM;6;30,42 €;CT18ACM02;6;31,20 €;AC19ACM01;6;45,06 €;ME19ACM;6;30,42 €;EU19TAM;6;39,72 €;;;0,00 €;MF19DAG;6;30,42 €;CT18BRG99;6;30,72 €;AC18DA03;6;43,50 €;;;;281,46;9;;9
10;10;;11/01/2020;COOP FIRENZE;PISA SAN GIUSTO;10;MF19MAM;6;30,42 €;CT18ACM02;6;31,20 €;AC19ACM02;12;90,12 €;ME19ACM;6;30,42 €;EU19TAM;12;79,44 €;;;0,00 €;MF19DAG;6;30,42 €;CT18BRG99;6;30,72 €;AC18DA03;6;43,50 €;;;;366,24;10;;10
11;11;;11/01/2020;COOP FIRENZE;PONTEDERA VIA TERRACINI;11;MF19MAM;24;121,68 €;CT18ACM02;12;62,40 €;AC19ACM02;24;180,24 €;ME19ACM;6;30,42 €;EU19TAM;24;158,88 €;;;0,00 €;;;0,00 €;CT18BRG99;12;61,44 €;AC18DA03;12;87,00 €;;;;702,06;11;;11
12;12;;11/01/2020;COOP FIRENZE;PRATO VIA DELLA PLEIADI;12;;;0,00 €;;;0,00 €;AC19ACM02;12;90,12 €;ME19ACM;12;60,84 €;EU19TAM;12;79,44 €;;;0,00 €;;;0,00 €;;;0,00 €;;;0,00 €;;;;230,40;12;;12
13;13;;11/01/2020;COOP FIRENZE;BORGO A BUGGIANO;13;;;0,00 €;;;0,00 €;AC19ACM01;6;45,06 €;;;0,00 €;EU19TAM;12;79,44 €;;;0,00 €;;;0,00 €;CT18BRG99;12;61,44 €;AC18DA03;6;43,50 €;;;;229,44;13;;13
14;14;;11/01/2020;COOP FIRENZE;FIRENZE NOVOLI;14;MF19MAM;18;91,26 €;CT18ACM02;24;124,80 €;AC19ACM02;12;90,12 €;ME19ACM;6;30,42 €;EU19TAM;18;119,16 €;;;0,00 €;MF19DAG;12;60,84 €;CT18BRG99;24;122,88 €;AC18DA03;12;87,00 €;;;;726,48;14;;14
15;15;;17/01/2020;COOP FIRENZE;PISA CISANELLO;15;MF19MAM;12;60,84 €;;;0,00 €;AC19ACM02;12;90,12 €;ME19ACM;12;60,84 €;EU19TAM;18;119,16 €;;;0,00 €;MF19DAG;12;60,84 €;CT18BRG99;12;61,44 €;AC18DA03;12;87,00 €;;;;540,24;15;;15
1;1;;04/01/2020;COOP FIRENZE;LUCCA VIALE PUCCINI;1;MF19MAM;24;121,68 €;CT18ACM02;24;124,80 €;AC19ACM01;36;270,36 €;;;0,00 €;;;0,00 €;;;0,00 €;MF19DAG;24;121,68 €;CT18BRG99;24;122,88 €;AC18DA03;36;261,00 €;;;;1022,40;1;;1
2;2;;04/01/2020;COOP FIRENZE;MASSA E COZZILE;2;MF19MAM;12;60,84 €;CT18ACM02;6;31,20 €;AC19ACM01;12;90,12 €;ME19ACM;12;60,84 €;EU19TAM;12;79,44 €;;;0,00 €;;;0,00 €;CT18BRG99;6;30,72 €;AC18DA03;12;87,00 €;;;;440,16;2;;2
3;3;;11/01/2020;COOP FIRENZE;TORRE DEL LAGO;3;MF19MAM;6;30,42 €;;;0,00 €;AC19ACM01;12;90,12 €;ME19ACM;6;30,42 €;EU19TAM;6;39,72 €;;;0,00 €;MF19DAG;6;30,42 €;CT18BRG99;6;30,72 €;;;0,00 €;;;;251,82;3;;3
4;4;;11/01/2020;COOP FIRENZE;ARENA METATO;4;MF19MAM;6;30,42 €;;;0,00 €;;;0,00 €;ME19ACM;6;30,42 €;EU19TAM;6;39,72 €;;;0,00 €;MF19DAG;6;30,42 €;CT18BRG99;6;30,72 €;AC18DA03;6;43,50 €;;;;205,20;4;;4
5;5;;11/01/2020;COOP FIRENZE;CALCI;5;MF19MAM;12;60,84 €;CT18ACM02;12;62,40 €;AC19ACM01;6;45,06 €;ME19ACM;12;60,84 €;EU19TAM;12;79,44 €;;;0,00 €;MF19DAG;6;30,42 €;;;0,00 €;AC18DA03;6;43,50 €;;;;382,50;5;;5